"Estudiantes, Nuevos Inscriptos, Reinscriptos y Egresados de títulos de pregrado, grado y posgrado por género, carrera, unidad académica y por tipo de institución. Año 2017,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevos Inscriptos Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres
Universidad,Universidad Nacional de Rosario,Facultad de Ciencias Médicas,Medicina,Médico Legista,Público,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Cuyo,Facultad de Filosofía y Letras,Letras,Magister en Lingüística Aplicada,Público,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Ciencias Médicas,Laboratorio,Especialista en Hematología,Público,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Tucumán,Facultad de Odontología,Odontología,Doctor en Odontología,Público,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Humanidades y Artes,Carrera No Definida,Trompista,Público,Pregrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Austral,Facultad de Ciencias Biomédicas,Medicina,Magister en Diabetes,Privado,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Ciencias Médicas,Medicina,Médico Endocrinólogo,Público,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Tucumán,Facultad de Medicina,Medicina,Magister en Trombosis,Público,Posgrado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de Buenos Aires,Facultad de Derecho,Carrera No Definida,Traductor Público en Idioma Croata,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de La Plata,Facultad de Ciencias Veterinarias,Biología,Microbiólogo Clínico e Industrial,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de Buenos Aires,Facultad de Derecho,Otros Idiomas,Traductor Público en Idioma Ucraniano,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
